gT,gM,Fishing_Pressure,Final_Coral,Final_Turf,Final_Macroalgae,Id,Fishing_ID
9.5,2.5,0.1,0.7255186058657928,0.002921782124737089,2.6169151849511667e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10,2.5,0.1,0.7256826075498257,0.0027718107415209514,2.482169962534192e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,2.5,0.1,0.7258305934248955,0.0026364842519602675,2.3606221181468883e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11,2.5,0.1,0.7259648004591661,0.0025137572690928744,2.2504231800496836e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,2.5,0.1,0.7260870675431618,0.0024019483736101113,2.1500544993930906e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12,2.5,0.1,0.7261989202713943,0.0022996626004226106,2.05825682550418e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,2.5,0.1,0.7263016349404658,0.002205732926182634,1.9739771875918933e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13,2.5,0.1,0.7263962874746075,0.002119175536841711,1.8963283161509026e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13.5,2.5,0.1,0.726483791263837,0.002039155231951535,1.824557281049213e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14,2.5,0.1,0.7265649267395019,0.0019649583832389806,1.758020993003798e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
14.5,2.5,0.1,0.7266403647183484,0.001895971590510415,1.6961668777071984e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
15,2.5,0.1,0.7267106849949708,0.001831664681928867,1.6385174916977107e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
0,3,0.1,0.05880467863279747,0.6879142319319007,0.13869200605649454,"Herbivores
even","Fishing
Pressure
= 0.1"
0.5,3,0.1,0.5930533395405851,0.12612246318316273,0.010658908382647079,"Herbivores
even","Fishing
Pressure
= 0.1"
1,3,0.1,0.6891610139653509,0.03675641909639049,0.0027920108866206013,"Herbivores
even","Fishing
Pressure
= 0.1"
1.5,3,0.1,0.7052433417973212,0.021810846336809613,0.0016291362164958757,"Herbivores
even","Fishing
Pressure
= 0.1"
2,3,0.1,0.7120089904139187,0.01552355206958588,0.0011514399151649638,"Herbivores
even","Fishing
Pressure
= 0.1"
2.5,3,0.1,0.7157431586177935,0.012053408965615747,8.906233478178496e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
3,3,0.1,0.7181117512840985,0.009852285926852783,7.262191873931692e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
3.5,3,0.1,0.7197484212057416,0.008331333334664223,6.130822783432621e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4,3,0.1,0.7209471525014738,0.007217354249580905,5.304579498637475e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
4.5,3,0.1,0.7218630305383473,0.006366229172763137,4.674656449720992e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5,3,0.1,0.7225856278505285,0.005694719056006471,4.17849671829539e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
5.5,3,0.1,0.7231703000004016,0.005151382360042767,3.7775747498382196e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6,3,0.1,0.7236531027196007,0.0047027127078955,3.4468659823164464e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
6.5,3,0.1,0.724058529908888,0.004325948039281134,3.1694082715657916e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7,3,0.1,0.7244038046154775,0.004005083046140781,2.933296590190084e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
7.5,3,0.1,0.7247013908241587,0.0037285349872466828,2.729928889458603e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8,3,0.1,0.7249605311749183,0.0034877146995677443,2.552934802092927e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
8.5,3,0.1,0.7251882245928346,0.0032761180939048736,2.397495940265079e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9,3,0.1,0.7253898682297688,0.003088729602648252,2.2599003681949173e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
9.5,3,0.1,0.7255696909235467,0.002921619368661358,2.1372422288432416e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10,3,0.1,0.7257310531165467,0.002771664532459596,2.0272141895222442e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
10.5,3,0.1,0.7258766588903667,0.0026363521893320533,1.9279608810904216e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11,3,0.1,0.7260087087634137,0.002513637395122818,1.8379733946784026e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
11.5,3,0.1,0.7261290117008421,0.002401839075757245,1.7560120150904768e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12,3,0.1,0.7262390684987708,0.0022995625385127936,1.6810487502664777e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
12.5,3,0.1,0.72634013472941406,0.002205640977245644,1.6122239817484263e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
13,3,0.1,0.7264332688629382,0.0021190907528304357,1.5488133473284983e-4,"Herbivores
even","Fishing
Pressure
= 0.1"
